id,nombre,departamento,latitud,longitud,poblacion2022,superficieKm2,densidad,queryUsada,slug,displayName
loc-102,Los Costilla,Monteros,-27.220494,-65.470340,481,1.277000,376.664000,"Los Costilla, Monteros, Tucuman, Argentina",los-costilla,"Los Costilla, Municipio de León Rouges y Santa Rosa - Los Rojo, Departamento Monteros, Tucumán, T4142, Argentina"
loc-103,Los Gomez,Leales,-27.323138,-65.210974,689,2.555000,269.667000,"Los Gomez, Leales, Tucuman, Argentina",los-gomez,"Los Gómez, Municipio de Los Gómez, Departamento Leales, Tucumán, T4113, Argentina"
loc-104,Los Guchea,Chicligasta,-27.400038,-65.570243,447,4.694000,95.228000,"Los Guchea, Chicligasta, Tucuman, Argentina",los-guchea,"Los Guchea, Municipio de Alto Verde y Los Guchea, Departamento Chicligasta, Tucumán, T4174, Argentina"
loc-106,"Los Nogales (incl. Barrio Mutual San Martin, Barrio El Cruce)",Tafi Viejo,-26.711364,-65.219801,5188,6.094000,851.329000,"Los Nogales, Tafi Viejo, Tucuman, Argentina",los-nogales,"Los Nogales, Barrio El Cruce, Tafí Viejo, Municipio de Los Nogales, Departamento Tafí Viejo, Tucumán, T4103, Argentina"
loc-107,Los Pereyra,Cruz Alta,-26.946238,-64.882014,495,1.854000,266.990000,"Los Pereyra, Cruz Alta, Tucuman, Argentina",los-pereyra,"Los Pereyra, Municipio de Los Pereyra, Departamento Cruz Alta, Tucumán, T4178, Argentina"
loc-108,Los Pizarros,La Cocha,-27.747199,-65.636137,1171,5.865000,199.659000,"Los Pizarros, La Cocha, Tucuman, Argentina",los-pizarros,"Los Pizarro, San Ignacio, Municipio de San Ignacio, Departamento La Cocha, Tucumán, T4162, Argentina"
loc-109,Los Puestos,Leales,-27.280835,-65.017502,357,5.455000,65.445000,"Los Puestos, Leales, Tucuman, Argentina",los-puestos,"Municipio de Los Puestos, Departamento Leales, Tucumán, T4113, Argentina"
loc-110,Los Ralos,Cruz Alta,-26.888390,-64.998460,11431,2.271000,5033.465000,"Los Ralos, Cruz Alta, Tucuman, Argentina",los-ralos,"Municipio de Los Ralos, Departamento Cruz Alta, Tucumán, T4178, Argentina"
loc-111,Los Romano,Leales,-27.375464,-65.145278,502,3.242000,154.843000,"Los Romano, Leales, Tucuman, Argentina",los-romano,"Los Romano, Municipio de Los Puestos, Departamento Leales, Tucumán, T4113, Argentina"
loc-112,Los Sarmiento,Rio Chico,-27.414668,-65.691231,4575,2.368000,1932.010000,"Los Sarmiento, Rio Chico, Tucuman, Argentina",los-sarmiento,"Los Sarmiento, Municipio de Los Sarmiento y La Tipa, Departamento Río Chico, Tucumán, T4153, Argentina"
